linkPVID, refSlope, probeSlope, diff
554709833, 0.842000, 0.133003, 0.708997
759391127, 0.007111, -0.042516, 0.049627
766850672, -0.014750, -0.167846, 0.153096
587010721, -1.605478, -0.087212, -1.518266
76164737, -1.519750, 0.995181, -2.514931
79930335, -0.529100, -0.133684, -0.395416
83732275, 0.095357, -10.260942, 10.356299
80675795, -0.302538, -0.074605, -0.227934
586499094, 0.073391, -0.112337, 0.185729
724102310, -0.653292, -0.024352, -0.628940
724102319, 0.429000, -1.712589, 2.141589
586836030, 0.514682, 0.102401, 0.412281
565437210, 0.294167, -0.026551, 0.320717
724071625, 1.019200, -0.074028, 1.093228
724071627, 0.685067, -0.078834, 0.763901
590237663, 2.856111, 0.000000, 2.856111
724071633, 0.451759, -0.114313, 0.566072
51764068, 2.433750, 0.000000, 2.433750
554728587, -1.538441, -0.037165, -1.501276
756061482, -0.100189, 0.111215, -0.211404
572217903, -0.928000, 0.084256, -1.012256
80730720, 0.031125, 0.077362, -0.046237
67942930, -0.146667, -0.225462, 0.078795
586528662, -0.951393, -0.308484, -0.642908
763058219, -1.440000, -0.034600, -1.405400
590227400, -1.366313, -0.058692, -1.307621
554709732, -0.046600, -1.823851, 1.777251
572196850, 1.230000, -0.051867, 1.281867
572220131, 0.030182, 0.171670, -0.141488
74870434, 0.137625, -0.035750, 0.173375
586509730, -0.067500, 0.023890, -0.091390
79670183, -0.811600, -0.045486, -0.766114
51803346, -0.047400, -0.050212, 0.002812
767345751, 0.687400, -0.009291, 0.696691
51962300, 0.119875, 0.039177, 0.080698
76184633, 0.474100, 0.028143, 0.445957
783406993, 0.683933, 0.081554, 0.602379
723583186, -0.679307, -0.055893, -0.623414
572237120, 0.791960, -0.023398, 0.815358
762883734, 0.397208, 0.124329, 0.272879
711688577, 0.056000, 3.524083, -3.468083
586523892, -0.110750, -0.017474, -0.093276
783450220, 0.580333, -0.040965, 0.621299
74808704, -0.822556, 0.048597, -0.871152
762876091, 0.624636, -0.019004, 0.643640
761678703, 0.791800, 0.279489, 0.512311
550095883, -0.445571, -0.150909, -0.294662
51922432, -0.066273, -0.045236, -0.021036
74992376, 0.170652, 0.028825, 0.141827
75016915, -0.056444, -0.065636, 0.009192
764571256, -0.317000, -0.164106, -0.152894
554722968, -0.244143, -1.845235, 1.601092
554714657, -0.179545, -0.042342, -0.137203
762801554, 0.682000, -0.557675, 1.239675
586522247, -0.001000, 0.039149, -0.040149
760305977, 0.842955, 0.051030, 0.791925
765855292, -1.001357, -0.090790, -0.910567
764567861, -0.014667, 0.006921, -0.021588
67959971, -0.052938, -0.273190, 0.220252
67959972, -0.093000, -64.311702, 64.218702
723590433, 0.546143, 0.506171, 0.039972
554730003, 2.151750, 4.014238, -1.862488
68122874, 0.977227, -0.035136, 1.012364
51720559, 0.473625, 0.015444, 0.458181
79952754, 0.439182, 0.013930, 0.425252
762783379, -0.310000, -0.067584, -0.242416
763754719, -1.676957, 0.010157, -1.687113
74891394, 0.637923, -0.030401, 0.668324
762851346, -1.668300, 0.000000, -1.668300
51806962, 0.000091, 45.628462, -45.628371
586528853, -0.506750, 0.122492, -0.629242
67965018, -0.027500, 0.028746, -0.056246
766467102, -0.611211, 0.179869, -0.791080
763059359, 1.091600, 0.089133, 1.002467
716102747, -0.141947, -1.217814, 1.075867
51736270, -0.131000, 85.627184, -85.758184
572245723, -0.241571, 0.011475, -0.253047
711386914, 0.089435, -0.021376, 0.110810
554728524, 0.129200, 0.000000, 0.129200
80734092, -1.222182, 0.028162, -1.250344
764778205, 0.049833, -0.546748, 0.596581
554736044, 0.435714, -0.027179, 0.462893
67955784, 0.041667, -0.140267, 0.181934
783426620, -0.203222, -0.158892, -0.044330
721701730, 0.018000, 0.049642, -0.031642
67946438, 0.002556, -0.004467, 0.007023
766460857, 0.109000, 0.096880, 0.012120
765835439, -0.803714, 0.097619, -0.901333
51806806, -0.140000, -0.035909, -0.104091
773144510, -0.170500, 0.087023, -0.257523
51925848, -0.113500, -0.018096, -0.095404
51752350, 0.226667, -0.418872, 0.645539
554709423, 0.422625, 0.066037, 0.356588
586522246, -0.010816, 0.129533, -0.140349
51936753, 0.385636, 0.062852, 0.322784
51809317, 0.185200, 0.050939, 0.134261
554710512, -1.100051, 0.044054, -1.144105
80684559, -1.710000, -0.638993, -1.071007
586492418, -1.979000, -0.025632, -1.953368
765861557, -0.407500, -0.067226, -0.340274
565384199, 0.468818, -0.030029, 0.498848
724071630, 0.792167, 84.210758, -83.418591
762868064, 0.345385, 0.311567, 0.033817
762593358, -0.083667, -0.130662, 0.046995
565003364, -0.902593, 0.047006, -0.949599
572674734, -0.021400, -0.134739, 0.113339
551731313, -0.715448, 0.177964, -0.893412
763744256, 0.105833, 0.134745, -0.028912
763551923, -0.128800, -0.002624, -0.126176
565436611, 0.288480, 0.066248, 0.222232
541229402, -0.312500, 0.000000, -0.312500
572201826, -0.025917, -0.190903, 0.164986
792538754, 0.625000, 0.191001, 0.433999
762986550, 1.445750, 0.000000, 1.445750
554734435, 0.094769, 0.078079, 0.016690
763767960, -0.333429, -0.078619, -0.254810
51788794, -0.119250, 0.038450, -0.157700
792538596, -0.285875, 0.007016, -0.292891
759937902, -0.120907, -0.050629, -0.070278
711637619, 0.242500, -0.582949, 0.825449
554741556, -0.255333, 0.067853, -0.323186
792588902, 0.329286, 18.833421, -18.504135
762863025, -1.800475, -0.090978, -1.709498
565421136, -1.592500, 0.050763, -1.643263
576449635, 0.038500, -0.066593, 0.105093
541254543, -0.209929, 0.152732, -0.362660
759391114, -0.000500, 0.047927, -0.048427
74838037, -0.760400, -0.077345, -0.683055
565443054, 0.600571, -0.220269, 0.820841
763594165, -0.707000, 60.714157, -61.421157
763594173, -0.353750, -0.636247, 0.282497
75421723, 1.497444, 0.000000, 1.497444
75380684, -0.906800, 0.000000, -0.906800
576448749, -0.413476, -0.013739, -0.399737
80684792, 0.107167, 0.067896, 0.039270
565394983, -0.110217, -0.038283, -0.071934
540617346, -0.024652, 0.095208, -0.119860
51811876, 0.516000, 0.000000, 0.516000
51809048, 0.015000, 0.000000, 0.015000
554724712, 0.044939, 0.144393, -0.099454
572196427, -0.283063, 0.034776, -0.317839
764723919, 0.181875, -0.059983, 0.241858
554715022, 0.099400, -1.911351, 2.010751
79672251, 0.287214, 0.233677, 0.053537
554715016, 0.083813, -0.158731, 0.242544
764723923, 0.141083, 7.185799, -7.044716
61149744, -0.203750, -0.212307, 0.008557
765887096, -0.235500, 0.021761, -0.257261
587022261, -0.014667, 0.000000, -0.014667
62099639, 0.628630, -0.055396, 0.684025
550097150, -0.229500, -0.047115, -0.182385
61363124, -0.933800, 0.000000, -0.933800
51852312, -0.090500, 0.082796, -0.173296
51762454, -0.321000, -0.080364, -0.240636
704207421, -0.254611, 0.070605, -0.325216
792580006, -0.456375, 0.057132, -0.513507
51809306, 0.468600, 77.086087, -76.617487
554734546, 0.155042, -0.045593, 0.200635
554709733, 0.205333, -0.045115, 0.250448
550099023, -2.743444, -0.110369, -2.633075
550087713, 0.396455, -0.024595, 0.421050
765906884, 0.272750, -0.505747, 0.778497
554749473, -0.147400, 46.046484, -46.193884
765906858, 0.036500, 0.000000, 0.036500
51750409, 0.151000, 0.032686, 0.118314
67980449, -0.342333, 0.034800, -0.377133
572710656, -0.063947, 0.483174, -0.547121
565023032, -0.633273, -0.017936, -0.615337
707579771, -0.336865, 0.625682, -0.962546
74603098, -1.399488, 0.031287, -1.430775
74983956, -0.394538, -0.043615, -0.350923
567325562, -0.099400, 0.000000, -0.099400
587022488, -0.258500, 0.000000, -0.258500
749421079, -0.396750, 0.000000, -0.396750
763059249, -0.086360, 0.003316, -0.089676
587014398, -0.726500, 0.032065, -0.758565
565025647, 0.083500, 0.326956, -0.243456
